"filename", "language", "HTML", "XML", "JavaScript", "JSON with Comments", "CSS", "JSON", "comment", "blank", "total"
"/Users/marcel/dev/devakademie/projekte/git/join/assets/lock.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/logo-big.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/logo-mobile.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/low.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/mail.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/medium.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-add-task-cross.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-animation-logo.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-back-arrow.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-contact-edir.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-logo.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/pen-small.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/pencil-filled-square.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/marcel/dev/devakademie/projekte/git/join/assets/pencil-filled.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/marcel/dev/devakademie/projekte/git/join/assets/phone.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/plus-black.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/plus-white.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/pop-up-cross.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
